scope,geography_level,geography_name,geography_code,group_a_code,group_a,group_b_code,group_b,contrast,group_a_indoor_exposure_share,group_b_indoor_exposure_share,difference_a_minus_b,ci_95_low,ci_95_high,bootstrap_p_two_sided,bootstrap_repetitions,exposed_raw_n,group_a_exposed_raw_n,group_b_exposed_raw_n,group_a_effective_n,group_b_effective_n,minimum_group_exposed_raw_n,minimum_group_effective_n,low_group_raw_n_below_20,low_group_effective_n_below_20,estimable,p_fdr_bh,significant_95_ci,significant_fdr_05
latest_wave_2022_23,Borough,Enfield,E09000010,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5614736201042453,1.0,-0.4385263798957547,-0.5369822802025476,-0.33005662307361283,0.003992015968063872,500,65,61,3,39.03347745959213,2.2529217466140627,3,2.2529217466140627,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Enfield,E09000010,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,1.0,1.0,0.0,0.0,0.0,1.0,500,65,3,1,2.2529217466140627,1.0,1,1.0,True,True,True,1.0,False,False
latest_wave_2022_23,Borough,Greenwich,E09000011,2,Active,0,Inactive,Active minus Inactive,0.6128915604960086,0.0,0.6128915604960086,0.5538358346753285,0.674252186090861,0.003992015968063872,500,178,167,2,88.90614001052494,1.8167767736481462,2,1.8167767736481462,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Greenwich,E09000011,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.6128915604960086,0.6667101292734374,-0.053818568777428855,-0.270418596901491,0.19588121989814936,0.7225548902195609,500,178,167,9,88.90614001052494,6.371415262554305,9,6.371415262554305,True,True,True,0.834675476632941,False,False
latest_wave_2022_23,Borough,Greenwich,E09000011,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.6667101292734374,0.0,0.6667101292734374,0.4118403451577235,0.8663020711662789,0.003992015968063872,500,178,9,2,6.371415262554305,1.8167767736481462,2,1.8167767736481462,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Hackney,E09000012,2,Active,0,Inactive,Active minus Inactive,0.5055137113754632,1.0,-0.4944862886245368,-0.5579383026858631,-0.43794526305341397,0.003992015968063872,500,94,90,1,48.090735982713426,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Hackney,E09000012,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5055137113754632,0.24953924612732628,0.25597446524813694,0.036103092033677835,0.5057809001548629,0.023952095808383235,500,94,90,3,48.090735982713426,2.631990763922931,3,2.631990763922931,True,True,True,0.04863001270186899,True,True
latest_wave_2022_23,Borough,Hackney,E09000012,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.24953924612732628,1.0,-0.7504607538726737,-0.9855708406512085,-0.5437609500081645,0.003992015968063872,500,94,3,1,2.631990763922931,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Hammersmith and Fulham,E09000013,2,Active,0,Inactive,Active minus Inactive,0.5782227395291784,,,,,,500,95,91,0,45.30827949455161,,0,45.30827949455161,True,False,False,,False,False
latest_wave_2022_23,Borough,Hammersmith and Fulham,E09000013,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5782227395291784,0.6397230607295089,-0.061500321200330554,-0.3897810367354033,0.43706147112851523,0.7385229540918163,500,95,91,4,45.30827949455161,3.310936240133323,4,3.310936240133323,True,True,True,0.8386616597313846,False,False
latest_wave_2022_23,Borough,Hammersmith and Fulham,E09000013,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.6397230607295089,,,,,,500,95,4,0,3.310936240133323,,0,3.310936240133323,True,True,False,,False,False
latest_wave_2022_23,Borough,Haringey,E09000014,2,Active,0,Inactive,Active minus Inactive,0.5784221465672961,1.0,-0.42157785343270393,-0.49560502104270326,-0.3454506280149078,0.003992015968063872,500,108,99,1,53.65556960624106,1.0,1,1.0,True,True,True,0.00922293344345791,True,True
latest_wave_2022_23,Borough,Haringey,E09000014,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5784221465672961,0.4142932942409177,0.16412885232637836,-0.15431761343026396,0.43103282994852393,0.33532934131736525,500,108,99,8,53.65556960624106,4.571418923083083,8,4.571418923083083,True,True,True,0.49926813040585494,False,False
