task,origin,horizon,forecast_year,model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_months12,4,4,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.045294478247256555,20746,0.004425499319788944,7861,0.2476373487903226,0.017322518693764714,23883,0.01893837655837414,,,,,,,,,,,,,,,,,,,0.018540262954926143,0.047908295667038685,0.7982349672081812,,,,,,,,,
age_months12,5,1,6,Naive baseline,31744,,,,,,,,,,,,,9021,0.04492487813250692,22723,0.004864990737233248,7739,0.24379410282258066,0.012411562616626058,24005,0.017486416457630785,,,,,,,,,,,,,,,,,,,0.01624919701850731,0.043750279555028714,0.7920783764863261,,,,,,,,,
age_months12,5,2,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.04230399412748929,21327,0.0038954541420313125,8605,0.27107484879032256,0.013409549880635547,23139,0.01751618779982378,,,,,,,,,,,,,,,,,,,0.016413010744536438,0.04279393251288838,0.8240658293751268,,,,,,,,,
age_months12,5,3,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.0443941460758451,20746,0.003598495816804904,7861,0.2476373487903226,0.016831503810477662,23883,0.017967924517998148,,,,,,,,,,,,,,,,,,,0.017687934208941318,0.04727085635912584,0.8035683791888654,,,,,,,,,
age_months12,6,1,7,Naive baseline,31744,,,,,,,,,,,,,10311,0.04094011158958181,21327,0.0028438135735429767,8605,0.27107484879032256,0.012313222424408654,23139,0.016341822261034613,,,,,,,,,,,,,,,,,,,0.01525960878320782,0.04083621033451504,0.8397947783131748,,,,,,,,,
age_months12,6,2,8,Naive baseline,31744,,,,,,,,,,,,,10945,0.04598622493488973,20746,0.002738682357610807,7861,0.2476373487903226,0.01596883763143702,23883,0.018232686508273737,,,,,,,,,,,,,,,,,,,0.01767492146361307,0.04680772898979262,0.80739852833308,,,,,,,,,
age_months12,7,1,8,Naive baseline,31638,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7755,0.2451166318983501,0.016789959317105706,23883,0.017077705564804306,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
disability_months12,4,1,5,Naive baseline,62992,,,,,,,,,,,,,11928,0.08345833196360553,50320,0.00875112714116327,43772,0.6948818897637795,0.026395966864373423,19220,0.01561300932179827,,,,,,,,,,,,,,,,,,,,,,0.023066567623140057,0.08465084494466316,0.3682149208228953,,,,,,
disability_months12,4,2,6,Naive baseline,62992,,,,,,,,,,,,,10116,0.08852711572626815,52079,0.009317050774786432,44475,0.7060420370840742,0.02400872652978412,18517,0.017935401664368977,,,,,,,,,,,,,,,,,,,,,,0.022200546506745418,0.08187154674789611,0.28081152589667246,,,,,,
disability_months12,4,3,7,Naive baseline,62992,,,,,,,,,,,,,11837,0.08591328577227106,50501,0.008183184049887812,43814,0.6955486410972822,0.02477125837043193,19178,0.018828190120028926,,,,,,,,,,,,,,,,,,,,,,0.022942900660748774,0.08028872791500709,0.35160628553142703,,,,,,
disability_months12,4,4,8,Naive baseline,62992,,,,,,,,,,,,,12179,0.08256216129020985,50548,0.00846980526840383,43160,0.6851663703327406,0.025083633974421423,19832,0.018036194016132292,,,,,,,,,,,,,,,,,,,,,,0.022855489327733555,0.08078241481484898,0.3450351691723439,,,,,,
disability_months12,5,1,6,Naive baseline,62620,,,,,,,,,,,,,10099,0.08389562818460596,51724,0.009405884125733085,44103,0.7042957521558607,0.023603966826055558,18517,0.0168266194408701,,,,,,,,,,,,,,,,,,,,,,0.02157404039848848,0.0812957342984058,0.29068386111846667,,,,,,
disability_months12,5,2,7,Naive baseline,62620,,,,,,,,,,,,,11787,0.08126057427358743,50161,0.00861766584568494,43442,0.6937400191632066,0.0247168726313171,19178,0.017360959589464233,,,,,,,,,,,,,,,,,,,,,,0.022439612666239065,0.08118645188975376,0.32640856237720073,,,,,,
disability_months12,5,3,8,Naive baseline,62620,,,,,,,,,,,,,12157,0.0825536792107482,50198,0.008357222626818267,42788,0.6832960715426382,0.025193062345944168,19832,0.01774084053295207,,,,,,,,,,,,,,,,,,,,,,0.022822884124546375,0.08154261139410834,0.32421635873147436,,,,,,
disability_months12,6,1,7,Naive baseline,62691,,,,,,,,,,,,,11812,0.0818410858574145,50154,0.006252875627452169,43513,0.6940868705236797,0.022589501134093873,19178,0.016360103026457788,,,,,,,,,,,,,,,,,,,,,,0.02066155037225279,0.07742846359570621,0.39500029956408955,,,,,,
disability_months12,6,2,8,Naive baseline,62691,,,,,,,,,,,,,12165,0.08411738538936392,50155,0.006225529555671557,42859,0.6836547510806974,0.023259244939493266,19832,0.017511629141646293,,,,,,,,,,,,,,,,,,,,,,0.021430189796635416,0.07797388240586124,0.39034451114207513,,,,,,
