task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_overall_level,4,3,7,Gradient Boosting,256,0.1088232031559956,0.0725488021039971,0.1051293712175459,,,,,,,,,,251,0.0828094943545243,5,0.2928951499188523,57,0.22265625,0.197799700657061,199,0.083337472715992,,,,,,,0.0795213460266598,0.1198122457776985,0.5253404020049324,0.0512123304705663,0.0723090171205605,-0.0414621612807519,0.0869127298147651,0.1165031582514078,0.5736347726584012,,,,,,,,,,,,,,,
age_overall_level,4,4,8,Gradient Boosting,256,0.111466656926255,0.0743111046175033,0.1114718483604059,,,,,,,,,,252,0.0877710635416697,4,0.2780824380182357,51,0.19921875,0.2192532923619987,205,0.0846514451837041,,,,,,,0.0886631204832487,0.1294346891911866,0.3982117819495967,0.0435255146013951,0.0592458445947428,-0.0190367337862888,0.0907446787678661,0.1304396797868367,0.4527817820907233,,,,,,,,,,,,,,,
age_overall_level,5,1,6,Gradient Boosting,256,0.109949247130724,0.0732994980871493,0.1028191556490649,,,,,,,,,,249,0.082984560368759,7,0.2835972020331709,56,0.21875,0.2059064786380742,200,0.083081222308666,,,,,,,0.0837381298390928,0.1172038928412821,0.5682042506016425,0.0476903021330849,0.0660698044156881,-0.0408806071895124,0.0884700622892703,0.1166763247299206,0.5687905127171422,,,,,,,,,,,,,,,
age_overall_level,5,2,7,Gradient Boosting,256,0.1055158513756274,0.0703439009170849,0.1025110592405726,,,,,,,,,,251,0.0773734897420369,5,0.2843493663225129,57,0.22265625,0.1993540792748616,199,0.0786375649924297,,,,,,,0.0771223467450842,0.117062542479078,0.546877368052063,0.0524933686746712,0.0720662645086968,-0.0344811983036601,0.0814159873314993,0.1123760048585515,0.6033078950601456,,,,,,,,,,,,,,,
age_overall_level,5,3,8,Gradient Boosting,256,0.1108427328484789,0.0738951552323193,0.1118894031255896,,,,,,,,,,252,0.0869173672721752,4,0.2744354568559481,51,0.19921875,0.221152136885272,205,0.0833999055027401,,,,,,,0.0887086856047704,0.1307336891547825,0.386072137720274,0.0431294426702657,0.0590651749473522,-0.0128311242863077,0.0898473374219216,0.1302985925627038,0.4539649151015797,,,,,,,,,,,,,,,
disability_overall_level,4,1,5,Gradient Boosting,495,0.216523005526712,0.1443486703511413,0.2000312465145045,,,,,,,,,,467,0.1486529827696985,25,0.516277611562369,340,0.6868686868686869,0.2675933948199831,155,0.1054860946116644,,,,,,,,,,,,,,,,0.1617163781243864,0.214659049848858,0.0631334104345041,0.1039965369076789,0.1603109527074403,-0.0395719166593788,0.1673330960213586,0.2196801982575073,0.0887269724012917,,,,,,
disability_overall_level,4,2,6,Gradient Boosting,495,0.2041874142386619,0.1361249428257746,0.1885022033076843,,,,,,,,,,468,0.1479994718274993,22,0.5085794285548204,329,0.6646464646464646,0.2564234603628903,166,0.102232721803421,,,,,,,,,,,,,,,,0.1586707000642954,0.2096850371799855,0.0964994276368079,0.0855153524059351,0.1253067801560506,0.0121104593950679,0.1641887760070933,0.2166324952201446,0.1097806508131671,,,,,,
disability_overall_level,4,3,7,Gradient Boosting,495,0.1893223855934324,0.126214923728955,0.1814302897304191,,,,,,,,,,479,0.1488537060394008,15,0.4951465014785227,307,0.6202020202020202,0.2466094069081166,188,0.0960786168578295,,,,,,,,,,,,,,,,0.1460622821119966,0.1973986823583431,0.1353109996039265,0.0732138196112025,0.1195604659282406,-0.0184215698288183,0.1593686694636657,0.2132836263879706,0.1137985036437744,,,,,,
disability_overall_level,4,4,8,Gradient Boosting,495,0.1810287477220227,0.1206858318146818,0.1683786551612999,,,,,,,,,,477,0.1302572023510566,18,0.501302721039062,306,0.6181818181818182,0.2365794083396484,189,0.0910895829125334,,,,,,,,,,,,,,,,0.1405622544915901,0.1895848181814569,0.1387739372674267,0.077745474285471,0.1063707207882511,-0.0133253439387268,0.1437497666669841,0.1944144568078097,0.1480976764148563,,,,,,
disability_overall_level,5,1,6,Gradient Boosting,502,0.205900753755443,0.1372671691702953,0.1916306376910627,,,,,,,,,,473,0.1488527935829594,23,0.5163946951103783,336,0.6693227091633466,0.2604350698453683,166,0.0974891615284831,,,,,,,,,,,,,,,,0.1597078487565267,0.213016200096571,0.0959225772074632,0.0861975915118624,0.1273171597288124,-0.0145020325376914,0.1658960672424969,0.2204117583992646,0.111714990547338,,,,,,
disability_overall_level,5,2,7,Gradient Boosting,502,0.1875987793137183,0.1250658528758122,0.1834230236242369,,,,,,,,,,484,0.1441177783442312,17,0.5233743971088732,314,0.6254980079681275,0.246544178844379,188,0.0894609598823522,,,,,,,,,,,,,,,,0.1448908389070489,0.1991485614584714,0.1422528352919095,0.0733199543122863,0.1233332117314556,-0.0196867979984043,0.1569867654081013,0.2146177675296189,0.1202374946875323,,,,,,
disability_overall_level,5,3,8,Gradient Boosting,502,0.1811747271842941,0.120783151456196,0.1692270866791111,,,,,,,,,,483,0.1287678629163173,19,0.5056887770522751,313,0.6235059760956175,0.2369041638767623,189,0.0888820621856563,,,,,,,,,,,,,,,,0.1414125352798207,0.1918999337639076,0.127527047913641,0.0779031251593361,0.1062588358323252,-0.0023371712319459,0.1430337939294313,0.1944142377159269,0.1504259156422616,,,,,,
age_activity_level,4,1,5,Random Forest,31744,0.0071695285925593,0.0047796857283729,0.0221046640792147,0.0067885029949598,0.0281056840326288,0.6736774367326983,0.0031143895989878,0.0142901867307352,0.5112730908227092,0.004436164591171,0.0217188768223298,0.5674354212372007,3276,0.0420490800055799,28468,0.0001077990264104,6944,0.21875,0.0041445788220934,24800,0.0080165145282898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,2,6,Random Forest,31744,0.0075504942099307,0.0050336628066205,0.0230193922661851,0.0072035909562813,0.0296535579470949,0.6425542499893806,0.0034598015507193,0.0161345330962207,0.4514706575505641,0.0044375959128608,0.0212136890652887,0.5651790841145834,3088,0.045295391283147,28656,3.471790813425802e-05,7739,0.2437941028225806,0.0047404973982581,24005,0.0084564123655456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,3,7,Random Forest,31744,0.008529200728703,0.0056861338191353,0.0244986406517737,0.0082552253801078,0.0320082973838452,0.673438863393449,0.0039951387016585,0.0179115692803796,0.3980220170177085,0.0048080373756397,0.0213352939013202,0.6891684075827318,3703,0.0409027608224457,27935,2.3403012886083117e-05,8605,0.2710748487903225,0.0061744827729889,23139,0.0093940932437475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
