year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,n,n_frequent,weighted_n,weighted_frequent,sum_weight_squared,n_not_frequent,frequent_volunteer_rate,effective_n,small_cell,few_frequent_cases
8,5.0,45-54,2,active,1544,258,1994.2794757589643,343.61195868450926,4301.050473761635,1286,0.17229879907064713,924.6928515942508,False,False
8,6.0,55-64,0,inactive,407,23,605.4537982573319,32.689072223356945,1583.9259764157905,384,0.05399102675950731,231.43398573065758,False,False
8,6.0,55-64,1,fairly_active,181,14,239.94257782070568,12.777498583854287,565.2769191953388,167,0.05325231853348732,101.84820695173386,False,False
8,6.0,55-64,2,active,1286,176,1590.7455857877196,229.23791776221012,3331.9563017260325,1110,0.1441072160188922,759.4551937527724,False,False
8,7.0,65-74,0,inactive,291,23,412.14937384054696,33.11248826871404,887.0868745720239,268,0.08034098889963291,191.48869318927473,False,False
8,7.0,65-74,1,fairly_active,123,13,164.55942339718348,15.820939163461494,330.1081884374195,110,0.09614119226266248,82.03311755760087,False,False
8,7.0,65-74,2,active,843,129,1088.0330865551207,162.86614063799453,2072.839265759017,714,0.14968859187329833,571.1084390352773,False,False
8,8.0,75-84,0,inactive,179,14,356.1310714855106,25.975442280056484,953.7832143313104,165,0.07293787136209852,132.97501798281996,False,False
8,8.0,75-84,1,fairly_active,69,6,123.23250565651044,12.151102961918342,328.45701330173245,63,0.09860306659500592,46.23512312227975,False,False
8,8.0,75-84,2,active,292,37,639.7302927010267,76.63103565356121,1999.8684385017868,255,0.11978647334334404,204.64088513039232,False,False
8,9.0,85+,0,inactive,43,2,113.18243429486112,2.9488884590479882,438.44990787609856,41,0.026054294356009252,29.217165297091597,False,True
8,9.0,85+,1,fairly_active,13,0,21.902362576989006,0.0,42.6620258119508,13,0.0,11.244507904252115,True,True
8,9.0,85+,2,active,36,4,82.92447624160673,11.77553795793262,293.53386311202837,32,0.1420031635005291,23.426492218106933,False,True
