year,LA_2023,age_group_code,age_group,inactive,fairly_active,active,active_inactive_gap,fairly_inactive_gap
3,241,4,35-44,0.0,0.0622050841681638,0.0881207541762496,0.0881207541762496,0.0622050841681638
3,241,5,45-54,0.056189406388515,0.0,0.2048588142085538,0.14866940782003882,-0.056189406388515
3,241,6,55-64,0.0,0.0,0.0174852090443436,0.0174852090443436,0.0
3,241,7,65-74,0.0,0.2770087155572179,0.0795758722687198,0.0795758722687198,0.2770087155572179
3,241,8,75-84,0.0,0.0,0.0,0.0,0.0
3,241,9,85+,0.0,0.0,,,0.0
3,255,2,16-24,0.0,0.0,0.2507360728236318,0.2507360728236318,0.0
3,255,3,25-34,0.0600256211445055,0.0,0.0450507689515929,-0.0149748521929126,-0.0600256211445055
3,255,4,35-44,0.1089116205347733,0.0,0.0678105047924321,-0.041101115742341196,-0.1089116205347733
3,255,5,45-54,0.0154437649571106,0.0540137396308496,0.20871658607637,0.1932728211192594,0.038569974673739
3,255,6,55-64,0.1059248136411427,0.0284267180603227,0.0050742290276387,-0.100850584613504,-0.07749809558082
3,255,7,65-74,0.1503183890483397,0.291990026470189,0.1447338547160486,-0.005584534332291086,0.14167163742184932
3,255,8,75-84,0.0780396741891091,0.0,0.2043591346133483,0.1263194604242392,-0.0780396741891091
3,255,9,85+,0.0,,0.0,0.0,
3,272,2,16-24,0.0310474662257189,0.0,0.0582542703134554,0.027206804087736496,-0.0310474662257189
3,272,3,25-34,0.0094076207706086,0.0,0.0642962230829951,0.0548886023123865,-0.0094076207706086
3,272,4,35-44,0.0,0.0,0.0646946241936078,0.0646946241936078,0.0
3,272,5,45-54,0.0,0.0,0.1805479987643996,0.1805479987643996,0.0
3,272,6,55-64,0.0,0.0,0.151208745460578,0.151208745460578,0.0
3,272,7,65-74,0.0,0.0,0.1922146953219084,0.1922146953219084,0.0
3,272,8,75-84,0.0,0.0,0.0,0.0,0.0
3,272,9,85+,0.0,,0.0,0.0,
3,279,2,16-24,0.0,0.0,0.170102400599963,0.170102400599963,0.0
3,279,3,25-34,0.0,0.0,0.0591073835757932,0.0591073835757932,0.0
3,279,4,35-44,0.0,0.0,0.1731054637529703,0.1731054637529703,0.0
3,279,5,45-54,0.0380020664472775,0.0,0.1259817040542024,0.0879796376069249,-0.0380020664472775
3,279,6,55-64,0.0,0.0,0.0946901235175566,0.0946901235175566,0.0
3,279,7,65-74,0.0,0.5821524758689433,0.3308396527971449,0.3308396527971449,0.5821524758689433
3,279,8,75-84,0.0,0.4257846385355591,0.1138995421769194,0.1138995421769194,0.4257846385355591
3,279,9,85+,0.0,0.0,,,0.0
3,280,2,16-24,0.0,0.5972328057851791,0.238563702777608,0.238563702777608,0.5972328057851791
3,280,3,25-34,0.0,0.0,0.1379979796740616,0.1379979796740616,0.0
3,280,4,35-44,0.0753244678357718,0.0382032935801359,0.0764040996950259,0.001079631859254096,-0.03712117425563591
3,280,5,45-54,0.0745480963109393,0.0,0.3150055500167492,0.2404574537058099,-0.0745480963109393
3,280,6,55-64,0.0,0.0,0.1451188178129221,0.1451188178129221,0.0
3,280,7,65-74,0.0,0.0,0.0496588266792336,0.0496588266792336,0.0
3,280,8,75-84,0.0,0.0,0.0,0.0,0.0
3,280,9,85+,,,0.0,,
3,293,2,16-24,,0.0,0.0,,
3,293,3,25-34,0.1506959112556587,0.0,0.0326480552555014,-0.1180478560001573,-0.1506959112556587
3,293,4,35-44,0.0,0.0,0.1167296767871107,0.1167296767871107,0.0
3,293,5,45-54,0.0,0.0,0.0552105225054042,0.0552105225054042,0.0
3,293,6,55-64,0.1031364266006744,0.0,0.0592360874978297,-0.0439003391028447,-0.1031364266006744
3,293,7,65-74,0.0,0.0,0.0574904214589524,0.0574904214589524,0.0
3,293,8,75-84,0.0,0.0,0.0828526274572462,0.0828526274572462,0.0
3,293,9,85+,0.0,0.0,0.0,0.0,0.0
4,8,2,16-24,0.0,0.0,0.1115263928212127,0.1115263928212127,0.0
4,8,3,25-34,0.0533461668614973,0.0244969410523766,0.0906743020985917,0.037328135237094405,-0.028849225809120697
4,8,4,35-44,0.0516920353369509,0.080965091609157,0.1856624244765996,0.1339703891396487,0.029273056272206104
4,8,5,45-54,0.0547796205784698,0.0,0.1161811531961489,0.0614015326176791,-0.0547796205784698
4,8,6,55-64,0.0,0.0,0.0374824651308884,0.0374824651308884,0.0
4,8,7,65-74,0.0337401856094247,0.0,0.0,-0.0337401856094247,-0.0337401856094247
4,8,8,75-84,0.0,0.0,0.0,0.0,0.0
4,8,9,85+,0.4783371376215017,0.0,0.0,-0.4783371376215017,-0.4783371376215017
4,9,2,16-24,0.0,,0.0,0.0,
4,9,3,25-34,0.0,0.0,0.1317328656300819,0.1317328656300819,0.0
4,9,4,35-44,0.0,0.0693540276786253,0.3322178949232007,0.3322178949232007,0.0693540276786253
4,9,5,45-54,0.0,0.1929508163907883,0.1023153511074356,0.1023153511074356,0.1929508163907883
4,9,6,55-64,0.2001232385247443,0.0,0.1346184116122786,-0.0655048269124657,-0.2001232385247443
4,9,7,65-74,0.0203569276089588,0.0,0.1287938722567263,0.10843694464776751,-0.0203569276089588
4,9,8,75-84,0.0,0.0,0.3456521941966162,0.3456521941966162,0.0
4,9,9,85+,0.0,0.0,,,0.0
4,17,2,16-24,0.0,0.0,0.260964401204814,0.260964401204814,0.0
4,17,3,25-34,0.0,0.0,0.1058996905524135,0.1058996905524135,0.0
4,17,4,35-44,0.0,0.0,0.1914497315154914,0.1914497315154914,0.0
4,17,5,45-54,0.0,0.0,0.1467855601284325,0.1467855601284325,0.0
4,17,6,55-64,0.0,0.0474141795776866,0.0788726726197876,0.0788726726197876,0.0474141795776866
4,17,7,65-74,0.0,0.0,0.1220331103348255,0.1220331103348255,0.0
4,17,8,75-84,0.0,0.4907200636913745,0.0,0.0,0.4907200636913745
4,17,9,85+,,,0.0,,
4,30,2,16-24,0.4260134705103153,0.0,0.2807757803412765,-0.1452376901690388,-0.4260134705103153
4,30,3,25-34,0.0748347175861982,0.0,0.013856796402572,-0.060977921183626195,-0.0748347175861982
4,30,4,35-44,0.0180509746181179,0.1389392031847972,0.0387431949223804,0.0206922203042625,0.12088822856667929
4,30,5,45-54,0.026070451152351,0.2751053165599903,0.2752067195317145,0.24913626837936348,0.2490348654076393
4,30,6,55-64,0.0,0.0,0.1054430311144479,0.1054430311144479,0.0
4,30,7,65-74,0.0,0.0,0.2488223024319853,0.2488223024319853,0.0
4,30,8,75-84,0.0,0.0,0.1277761389033895,0.1277761389033895,0.0
4,30,9,85+,0.0,,0.23506219864392,0.23506219864392,
4,35,2,16-24,,0.0,0.5503423901425282,,
4,35,3,25-34,0.0,0.0,0.1005123346911938,0.1005123346911938,0.0
4,35,4,35-44,0.1303843000655755,0.0,0.1836720968353222,0.05328779676974671,-0.1303843000655755
4,35,5,45-54,0.3844634305092923,0.0,0.1437179894135187,-0.24074544109577362,-0.3844634305092923
4,35,6,55-64,0.1085796102198469,0.4290522488882902,0.083371578024993,-0.025208032194853902,0.3204726386684433
4,35,7,65-74,0.1016961416822332,0.0901381062458859,0.1437072333355117,0.04201109165327849,-0.0115580354363473
4,35,8,75-84,0.0,0.289848451388106,0.3095379127220354,0.3095379127220354,0.289848451388106
