LA_2023,age_group_code,age_group,observed_years,complete_historical_period,historical_slope,year3_rate,year8_rate,year3_year8_change,slope_pp_per_year,year3_year8_change_pp,borough_name
136,2,16-24,6,True,-0.00420272390683714,0.3241084232871337,0.2175922027539195,-0.10651622053321419,-0.420272390683714,-10.651622053321418,Kensington and Chelsea
136,3,25-34,6,True,0.01375810434345225,0.0,0.0824747054000288,0.0824747054000288,1.3758104343452249,8.24747054000288,Kensington and Chelsea
136,4,35-44,6,True,0.005301816854328137,0.0608738422344488,0.0630906365390111,0.002216794304562307,0.5301816854328136,0.2216794304562307,Kensington and Chelsea
136,5,45-54,6,True,0.002382351267975005,0.1353644879785859,0.1685184718437112,0.033153983865125275,0.2382351267975005,3.3153983865125274,Kensington and Chelsea
136,6,55-64,6,True,0.014327495852265218,0.1081931717018043,0.159178130394973,0.0509849586931687,1.4327495852265217,5.09849586931687,Kensington and Chelsea
136,7,65-74,6,True,0.008081416843374866,0.0520715608231238,0.1216733013386517,0.0696017405155279,0.8081416843374866,6.960174051552789,Kensington and Chelsea
136,8,75-84,6,True,0.01761154610660119,0.0714012803554309,0.1458657405865573,0.07446446023112639,1.7611546106601188,7.446446023112639,Kensington and Chelsea
136,9,85+,6,True,-0.012648616178237558,0.0,0.0,0.0,-1.2648616178237557,0.0,Kensington and Chelsea
139,2,16-24,6,True,-0.004651856451879888,0.3149464222222902,0.1534383211287253,-0.1615081010935649,-0.46518564518798877,-16.150810109356488,Kingston upon Thames
139,3,25-34,6,True,-0.007791201128218452,0.0787483781455213,0.04508984807017,-0.0336585300753513,-0.7791201128218451,-3.3658530075351303,Kingston upon Thames
139,4,35-44,6,True,-0.007264311150667274,0.2084449458326417,0.1097617771672394,-0.0986831686654023,-0.7264311150667274,-9.86831686654023,Kingston upon Thames
139,5,45-54,6,True,-0.022782216488248967,0.3929939354028481,0.2060378424376823,-0.1869560929651658,-2.2782216488248968,-18.69560929651658,Kingston upon Thames
139,6,55-64,6,True,-0.012856283031802303,0.1644121448589789,0.1327867803940149,-0.031625364464964,-1.2856283031802302,-3.1625364464964,Kingston upon Thames
139,7,65-74,6,True,0.0036747088306294602,0.2331362785129718,0.2070629046159895,-0.026073373896982305,0.367470883062946,-2.6073373896982304,Kingston upon Thames
139,8,75-84,6,True,0.00574571496597157,0.1041126111992377,0.0289270261100099,-0.0751855850892278,0.574571496597157,-7.518558508922781,Kingston upon Thames
139,9,85+,6,True,-0.06079295214978722,0.2255506650485106,0.0,-0.2255506650485106,-6.079295214978722,-22.55506650485106,Kingston upon Thames
142,2,16-24,6,True,0.0015587284648750823,0.1304047636736443,0.1179773923898176,-0.012427371283826719,0.15587284648750824,-1.2427371283826718,Lambeth
142,3,25-34,6,True,0.0005903365571993924,0.0750276201847456,0.0944592262749701,0.0194316060902245,0.059033655719939244,1.9431606090224498,Lambeth
142,4,35-44,6,True,0.017062924294887573,0.0679800376309396,0.1163002998769874,0.048320262246047796,1.7062924294887574,4.83202622460478,Lambeth
142,5,45-54,6,True,-0.022543683651281413,0.1682380413921339,0.099083836734993,-0.06915420465714091,-2.2543683651281414,-6.9154204657140905,Lambeth
142,6,55-64,6,True,0.011531116081140153,0.0285555719229503,0.0173559166149571,-0.0111996553079932,1.1531116081140154,-1.11996553079932,Lambeth
142,7,65-74,6,True,-0.0005385810728287357,0.0,0.1411451587789903,0.1411451587789903,-0.05385810728287357,14.11451587789903,Lambeth
142,8,75-84,6,True,0.032295165836363826,0.0290617572930321,0.1104523680973588,0.08139061080432669,3.2295165836363826,8.139061080432668,Lambeth
142,9,85+,5,False,,0.0,0.0,0.0,,0.0,Lambeth
147,2,16-24,6,True,0.00812615520415851,0.1541685296806316,0.196398297399681,0.042229767719049405,0.8126155204158511,4.222976771904941,Lewisham
147,3,25-34,6,True,0.006091510111091667,0.0282692600545066,0.0993770353495688,0.07110777529506221,0.6091510111091667,7.110777529506221,Lewisham
147,4,35-44,6,True,0.010920755778173865,0.0757833422497817,0.1112160838467972,0.035432741597015496,1.0920755778173865,3.5432741597015496,Lewisham
147,5,45-54,6,True,-0.007682827023131285,0.051848582919644,0.0742297569563128,0.022381174036668804,-0.7682827023131285,2.2381174036668803,Lewisham
147,6,55-64,6,True,0.03031453585585918,0.0414392753384167,0.1531209759135563,0.1116817005751396,3.031453585585918,11.16817005751396,Lewisham
147,7,65-74,6,True,0.030280333357665525,0.0510699266665192,0.189779234514427,0.1387093078479078,3.0280333357665525,13.87093078479078,Lewisham
147,8,75-84,6,True,-0.019770123152752693,0.061143578626469,0.0,-0.061143578626469,-1.9770123152752692,-6.1143578626469,Lewisham
147,9,85+,6,True,0.0,0.0,0.0,0.0,0.0,0.0,Lewisham
160,2,16-24,6,True,-0.015861356545835717,0.2382293540193134,0.0916932925465047,-0.14653606147280868,-1.5861356545835716,-14.653606147280868,Merton
160,3,25-34,6,True,0.01358460547836198,0.022349420987498,0.0969066096579196,0.0745571886704216,1.358460547836198,7.45571886704216,Merton
160,4,35-44,6,True,0.002103914094094831,0.1081157165419531,0.1120261529828093,0.003910436440856202,0.2103914094094831,0.3910436440856202,Merton
160,5,45-54,6,True,0.0108873280045757,0.1206576464001906,0.1807579552473695,0.060100308847178915,1.08873280045757,6.010030884717891,Merton
