task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,mean_rmse,mean_weighted_rmse,mean_r2,mean_error,mean_clip_rate,mean_common_rows,mean_all_rows,se_weighted_tv
borough_age_activity,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.06281246456880822,0.006621206177281304,0.06832796214453908,0.07751012129480944,0.12736532682776933,0.09095283611151483,0.004659053390070482,-0.024402842657424904,0.0,675.6666666666666,704.0,0.0038227551688133745
borough_age_activity,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",3,0.06365598879889738,0.008151384704008438,0.07027001927272848,0.07839406807057554,0.12776309410764886,0.09187301864526819,-0.0014975956996961342,-0.0252631692317473,0.0,675.6666666666666,704.0,0.004706204153127469
borough_age_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.06253287296198125,0.004662621639246937,0.06671404278071863,0.0768298957022699,0.12722499128723178,0.0905421052726527,0.006792509768115074,-0.023405009824484003,0.0,675.6666666666666,704.0,0.0026919658585485935
borough_age_activity,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.06451717433140657,0.00300417236074182,0.0669194759149218,0.08386937172735183,0.12510320529071708,0.08904316117789175,0.039393485776199166,-0.004575709751038751,0.0,675.6666666666666,704.0,0.0017344597211663233
borough_age_activity,Naive baseline,Naive baseline_01,{},3,0.08842924823115335,0.004504999110799776,0.0936225957948082,0.10421391775623724,0.17796264868357517,0.12930863495337871,-0.950809698723302,-0.003658798839179559,0.0,675.6666666666666,675.6666666666666,0.0026009624493192754
borough_age_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",3,0.07039319142345514,0.006187564635150743,0.07482689606295179,0.08963369567182473,0.12886091909540798,0.09549447253233263,-0.019162834072758612,-0.004337090998182692,0.0,675.6666666666666,704.0,0.0035723921077324902
borough_age_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.06610504772293617,0.0026324756266329725,0.06825502234622988,0.08562412034103462,0.12591811997157074,0.08990089820761872,0.026760053197631455,-0.0024333144518765195,0.0,675.6666666666666,704.0,0.0015198605116716756
borough_age_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.06558076835273187,0.0024047841414689755,0.06751581652076065,0.0846194151295747,0.12561743192468922,0.08959897592687281,0.03142527750796912,-0.0032676308848446395,0.0,675.6666666666666,704.0,0.0013884027714200563
borough_age_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.06512882219002815,0.0011395563389373713,0.0658698261612349,0.08466118288256103,0.125786958177857,0.08891893952369505,0.02860063145624921,-0.0015223001235473578,0.0,675.6666666666666,704.0,0.0006579231590422358
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.064874507400805,0.001681115823925716,0.06596566388585526,0.08374428168946368,0.12549742789045748,0.08894524159846022,0.03315417630462888,-0.002510496684807928,0.0,675.6666666666666,704.0,0.0009705926734824517
borough_age_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",3,0.07758288287632761,0.012473420156478218,0.0880655187149164,0.08984536754168337,0.13358954676701038,0.10244870105323255,-0.09541632188763483,-0.007407818442701161,0.12652997481763936,675.6666666666666,704.0,0.007201532485058003
borough_age_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",3,0.07756471409876896,0.012462095120357638,0.088043633618795,0.08984099624031183,0.13357764361493799,0.10242813547618979,-0.09521972766456603,-0.007396159113049879,0.12652997481763936,675.6666666666666,704.0,0.007194993972405204
borough_age_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",3,0.07738757186605953,0.012351187381311992,0.08782687172654825,0.08979959977361628,0.13346262562815114,0.10222897962453438,-0.09332125366324813,-0.007282701722607889,0.12357576506874718,675.6666666666666,704.0,0.007130961359411988
borough_age_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",3,0.0759096895925656,0.01138730596983013,0.08585668983660528,0.08947668401218545,0.13247529510888284,0.10059140901717574,-0.07711665313689549,-0.006206638694049964,0.08025024744940934,675.6666666666666,704.0,0.006574464167026058
borough_age_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",3,0.07184549831379702,0.00610516641919553,0.0759044119517174,0.08991568235912835,0.12935508028030088,0.09609526111236973,-0.02712236596692656,-0.0007799722100743685,0.0,675.6666666666666,704.0,0.0035248194755700033
borough_age_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",3,0.07070431990200919,0.006576837739625476,0.07679435092878982,0.09074299226115988,0.12890872431639608,0.09555987641874109,-0.019741208963438745,-0.0020262269756412144,0.0,675.6666666666666,704.0,0.0037971390393892585
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",3,0.07049997248986829,0.009702141608253225,0.0779193565829898,0.089860471468295,0.1287367676792097,0.09604047248361243,-0.01697167178095227,-0.006599630116208631,0.0,675.6666666666666,704.0,0.005601534069240868
