series_id,year,LA_2023,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_17__activity_2,8,17,2,active,0.13555118087387333,0.8644488191261266,248,328.1513893082457,729.3089841464306,147.65118303178778,36,44.48130832613484,212,283.67008098211085,False,False,False,True,True,6,1.0,True,True
borough_30__activity_0,3,30,0,inactive,0.0460436205574064,0.9539563794425936,93,204.79750425686035,853.1160130097609,49.16332258477823,3,9.4296185771067,90,195.36788567975364,False,True,False,True,True,6,1.0,True,True
borough_30__activity_0,4,30,0,inactive,0.06240677556109212,0.9375932244389079,83,187.13011558996863,809.5101025768433,43.257866763177226,4,11.678187124344397,79,175.45192846562423,False,True,False,True,True,6,1.0,True,True
borough_30__activity_0,5,30,0,inactive,0.07418501282951542,0.9258149871704845,111,195.21411756844105,665.4839901145683,57.26441546920526,10,14.481961816317332,101,180.7321557521237,False,False,False,True,True,6,1.0,True,True
borough_30__activity_0,6,30,0,inactive,0.08644152726152142,0.9135584727384786,105,211.49811733668258,637.8601631042224,70.1273668185676,9,18.282220275519304,96,193.21589706116328,False,False,False,True,True,6,1.0,True,True
borough_30__activity_0,7,30,0,inactive,0.07777164417323951,0.9222283558267604,117,218.7900489458252,667.7843420438597,71.68345003598866,11,17.01566183526037,106,201.77438711056482,False,False,False,True,True,6,1.0,True,True
borough_30__activity_0,8,30,0,inactive,0.06206168846229563,0.9379383115377044,105,188.8042982974323,487.58519341203146,73.1094043404686,4,11.717513541277576,101,177.0867847561547,False,True,False,True,True,6,1.0,True,True
borough_30__activity_1,3,30,1,fairly_active,0.25126351989834217,0.7487364801016578,32,63.688267265928296,314.54802567177285,12.895313453879076,3,16.00253820946351,29,47.68572905646479,False,True,False,True,True,6,1.0,True,True
borough_30__activity_1,4,30,1,fairly_active,0.09326689676690142,0.9067331032330985,47,93.57215434047268,288.7545966774316,30.322454321647754,2,8.727184459129433,45,84.84496988134325,False,True,False,True,True,6,1.0,True,True
borough_30__activity_1,5,30,1,fairly_active,0.0331972770992042,0.9668027229007958,47,65.41042910235598,306.5868549442116,13.955341419099277,4,2.1714481400887617,43,63.23898096226722,False,True,False,True,True,6,1.0,True,True
borough_30__activity_1,6,30,1,fairly_active,0.20325183279034015,0.7967481672096599,47,89.59573698622899,278.9966799686888,28.77237136659267,5,18.21049775265231,42,71.38523923357668,False,False,False,True,True,6,1.0,True,True
borough_30__activity_1,7,30,1,fairly_active,0.15143637909647054,0.8485636209035295,50,84.4296499525625,204.30520322594296,34.89076968455333,8,12.78572047719856,42,71.64392947536395,False,False,False,True,True,6,1.0,True,True
borough_30__activity_1,8,30,1,fairly_active,0.08355810635797686,0.9164418936420232,51,102.84333198101307,320.1875532326149,33.03298590521069,5,8.593394071878214,46,94.24993790913486,False,False,False,True,True,6,1.0,True,True
borough_30__activity_2,3,30,2,active,0.11458700506885207,0.8854129949311479,190,434.7823812704588,2137.049744928738,88.45639625928042,21,49.820410926485636,169,384.9619703439732,False,False,False,True,True,6,1.0,True,True
borough_30__activity_2,4,30,2,active,0.14234624537356877,0.8576537546264312,185,429.50392342748535,2107.7503270812404,87.52157116021309,23,61.138270873119325,162,368.365652554366,False,False,False,True,True,6,1.0,True,True
borough_30__activity_2,5,30,2,active,0.13235642496147906,0.8676435750385209,240,397.1825812476317,1190.1808080264757,132.54624993333138,31,52.569666510908725,209,344.6129147367229,False,False,False,True,True,6,1.0,True,True
borough_30__activity_2,6,30,2,active,0.1436096012979647,0.8563903987020353,218,384.8497292796203,1167.2564932614375,126.88669112712668,33,55.268116181475925,185,329.5816130981444,False,False,False,True,True,6,1.0,True,True
borough_30__activity_2,7,30,2,active,0.12206661399694041,0.8779333860030595,246,405.99182017558417,1168.5578322133067,141.05365905364638,28,49.55804679928828,218,356.43377337629585,False,False,False,True,True,6,1.0,True,True
borough_30__activity_2,8,30,2,active,0.11820176675949876,0.8817982332405012,235,452.77745199296413,1451.1510383407515,141.27228359885044,26,53.51909477443249,209,399.2583572185316,False,False,False,True,True,6,1.0,True,True
borough_35__activity_0,3,35,0,inactive,0.07240382117051573,0.9275961788294842,61,126.56767175922734,467.28748597093966,34.28162751088042,3,9.163983072023631,58,117.4036886872037,False,True,False,True,True,6,1.0,True,True
borough_35__activity_0,4,35,0,inactive,0.10297309819697172,0.8970269018030284,67,150.2701727239486,551.7515912601796,40.92625226310797,8,15.473785251979061,59,134.79638747196955,False,False,False,True,True,6,1.0,True,True
borough_35__activity_0,5,35,0,inactive,0.023114034467399642,0.9768859655326003,51,121.91363122526846,504.1059034880976,29.48375207607875,3,2.8179158741867045,48,119.09571535108175,False,True,False,True,True,6,1.0,True,True
borough_35__activity_0,6,35,0,inactive,0.07339942934296911,0.9266005706570309,62,140.68054183246196,457.5003779794628,43.25901311312905,3,10.325871490162402,59,130.35467034229956,False,True,False,True,True,6,1.0,True,True
borough_35__activity_0,7,35,0,inactive,0.03313119145307385,0.9668688085469263,57,115.73064351935882,407.20602047730335,32.8914141144223,3,3.834294107427317,54,111.89634941193151,False,True,False,True,True,6,1.0,True,True
borough_35__activity_0,8,35,0,inactive,0.0795567706428596,0.9204432293571403,76,162.37431162917315,606.8057897171536,43.44951469454069,8,12.917975868574338,68,149.4563357605988,False,False,False,True,True,6,1.0,True,True
borough_35__activity_1,3,35,1,fairly_active,0.1416107580751637,0.8583892419248363,46,115.10209479996821,501.40910446848676,26.422520271914067,5,16.299694900662857,41,98.80239989930536,False,False,False,True,True,6,1.0,True,True
borough_35__activity_1,4,35,1,fairly_active,0.08104940238574802,0.918950597614252,29,55.094954578801456,161.68678597317748,18.773667877495892,4,4.46541314308179,25,50.629541435719666,True,True,False,True,True,6,1.0,True,True
borough_35__activity_1,5,35,1,fairly_active,0.09903994840790367,0.9009600515920964,33,56.495684920289236,125.57978868682676,25.4162110638064,4,5.595329719774627,29,50.90035520051461,False,True,False,True,True,6,1.0,True,True
borough_35__activity_1,6,35,1,fairly_active,0.0,1.0,36,69.37679403553793,182.6942270796783,26.345329174250807,0,0.0,36,69.37679403553793,False,True,True,True,True,6,1.0,True,True
borough_35__activity_1,7,35,1,fairly_active,0.05555547726950934,0.9444445227304906,31,56.704848615226545,151.32143956868038,21.249069964182873,2,3.1502649283141864,29,53.55458368691236,False,True,False,True,True,6,1.0,True,True
