series_id,year,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_8__age_6__activity_2,4,8,6,55-64,2,active,0.03748246513088841,0.9625175348691115,17,22.59995916900433,65.26005740253554,7.826504829596097,3,0.8471021815117066,14,21.75285698749262,True,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,5,8,6,55-64,2,active,0.010707747807593069,0.989292252192407,33,40.08098964353305,66.45812460567555,24.17290196401072,1,0.4291771289817015,32,39.65181251455135,False,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,6,8,6,55-64,2,active,0.1581695549868985,0.8418304450131014,20,17.526288358449232,19.569016528857205,15.696792077953818,2,2.772125230227975,18,14.754163128221256,True,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,7,8,6,55-64,2,active,0.02979238795792246,0.9702076120420774,18,16.336399484685444,20.64098611178987,12.929515415486547,1,0.4867003512833533,17,15.849699133402089,True,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,8,8,6,55-64,2,active,0.06932086559902742,0.9306791344009726,18,13.099881081223353,15.2357685927687,11.26342155286099,2,0.908095095794726,16,12.191785985428627,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_0,3,8,7,65-74,0,inactive,0.0,1.0,11,7.132790953154815,5.727546093901181,8.882810534791124,0,0.0,11,7.132790953154815,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,4,8,7,65-74,0,inactive,0.03374018560942473,0.9662598143905754,18,9.849637022575543,16.403691736097667,5.914238760229844,2,0.3323285813271604,16,9.517308441248383,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_0,5,8,7,65-74,0,inactive,0.0,1.0,6,4.893319038254174,5.252107856311603,4.559040268254565,0,0.0,6,4.893319038254174,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,6,8,7,65-74,0,inactive,0.0,1.0,7,6.375645900685457,7.754613290636858,5.241893970394098,0,0.0,7,6.375645900685457,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,7,8,7,65-74,0,inactive,0.0,1.0,9,6.004212204214853,4.199480251784112,8.584529996998276,0,0.0,9,6.004212204214853,True,True,True,True,True,6,1.0,True,True
