LA_2023,age_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
30,45-54,8,0,75.0,71,0.0,False,False,False
30,55-64,8,0,69.5,66,0.0,False,False,False
30,65-74,8,0,63.0,50,0.0,False,False,False
30,75-84,8,7,23.0,17,0.875,True,False,True
30,85+,8,8,7.0,3,1.0,True,False,True
35,16-24,8,7,22.5,18,0.875,True,False,True
35,25-34,8,0,57.5,47,0.0,False,False,False
35,35-44,8,0,89.5,79,0.0,False,False,False
35,45-54,8,0,88.5,71,0.0,False,False,False
35,55-64,8,0,87.0,77,0.0,False,False,False
35,65-74,8,0,92.5,62,0.0,False,False,False
35,75-84,8,1,43.5,28,0.125,False,False,False
35,85+,8,8,10.0,4,1.0,True,False,True
44,16-24,8,0,48.5,41,0.0,False,False,False
44,25-34,8,0,97.5,73,0.0,False,False,False
44,35-44,8,0,83.0,62,0.0,False,False,False
44,45-54,8,0,82.5,68,0.0,False,False,False
44,55-64,8,0,73.5,65,0.0,False,False,False
44,65-74,8,0,67.5,52,0.0,False,False,False
44,75-84,8,3,33.0,18,0.375,False,False,False
44,85+,8,8,9.0,6,1.0,True,False,True
68,16-24,8,1,36.5,29,0.125,False,False,False
68,25-34,8,0,79.0,76,0.0,False,False,False
68,35-44,8,0,102.5,87,0.0,False,False,False
68,45-54,8,0,88.0,71,0.0,False,False,False
68,55-64,8,0,83.5,69,0.0,False,False,False
68,65-74,8,0,67.0,48,0.0,False,False,False
68,75-84,8,2,33.0,20,0.25,False,False,False
68,85+,8,8,8.0,4,1.0,True,False,True
78,16-24,8,0,48.5,35,0.0,False,False,False
78,25-34,8,0,77.5,57,0.0,False,False,False
78,35-44,8,0,97.0,85,0.0,False,False,False
78,45-54,8,0,90.0,83,0.0,False,False,False
78,55-64,8,0,81.5,66,0.0,False,False,False
78,65-74,8,0,68.0,52,0.0,False,False,False
78,75-84,8,4,28.5,22,0.5,True,False,True
78,85+,8,8,8.5,3,1.0,True,False,True
8,16-24,8,0,61.0,41,0.0,False,False,False
8,25-34,8,0,95.0,76,0.0,False,False,False
8,35-44,8,0,120.0,99,0.0,False,False,False
8,45-54,8,0,95.0,76,0.0,False,False,False
8,55-64,8,0,66.5,58,0.0,False,False,False
8,65-74,8,0,52.0,48,0.0,False,False,False
8,75-84,8,6,22.5,17,0.75,True,False,True
8,85+,8,8,7.0,1,1.0,True,False,True
9,16-24,8,0,42.5,35,0.0,False,False,False
9,25-34,8,0,85.0,52,0.0,False,False,False
9,35-44,8,0,93.5,71,0.0,False,False,False
9,45-54,8,0,85.0,72,0.0,False,False,False
9,55-64,8,0,85.0,79,0.0,False,False,False
9,65-74,8,0,77.5,63,0.0,False,False,False
9,75-84,8,0,34.5,31,0.0,False,False,False
9,85+,8,8,11.0,4,1.0,True,False,True
91,16-24,8,0,44.5,38,0.0,False,False,False
91,25-34,8,0,57.5,49,0.0,False,False,False
91,35-44,8,0,93.0,73,0.0,False,False,False
91,45-54,8,0,94.5,75,0.0,False,False,False
91,55-64,8,0,96.5,91,0.0,False,False,False
91,65-74,8,0,78.5,64,0.0,False,False,False
91,75-84,8,2,44.5,26,0.25,False,False,False
91,85+,8,8,13.5,3,1.0,True,False,True
