LA_2023,disability_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
201,disty6,8,8,5.5,2,1.0,True,False,True
201,disty7,8,8,12.5,7,1.0,True,False,True
201,disty8,8,8,6.5,3,1.0,True,False,True
201,disty9,8,8,5.0,2,1.0,True,False,True
201,limiting_disability,8,0,52.5,42,0.0,False,False,False
201,no_disability,8,0,336.0,295,0.0,False,False,False
201,non_limiting_disability,8,0,84.0,68,0.0,False,False,False
241,disty1,8,3,31.0,24,0.375,False,False,False
241,disty10,8,8,4.0,3,1.0,True,False,True
241,disty11,6,6,3.0,2,1.0,True,True,True
241,disty12,8,8,8.5,4,1.0,True,False,True
241,disty13,8,8,5.0,2,1.0,True,False,True
241,disty2,8,6,22.0,14,0.75,True,False,True
241,disty3,8,2,31.0,24,0.25,False,False,False
241,disty4,8,8,8.0,5,1.0,True,False,True
241,disty5,8,5,24.5,16,0.625,True,False,True
241,disty6,8,8,5.0,3,1.0,True,False,True
241,disty7,8,8,16.5,14,1.0,True,False,True
241,disty8,8,8,10.0,6,1.0,True,False,True
241,disty9,8,8,6.0,5,1.0,True,False,True
241,limiting_disability,8,0,61.0,50,0.0,False,False,False
241,no_disability,8,0,342.0,312,0.0,False,False,False
241,non_limiting_disability,8,0,75.0,54,0.0,False,False,False
255,disty1,8,0,39.5,31,0.0,False,False,False
255,disty10,8,8,3.0,2,1.0,True,False,True
255,disty11,6,6,3.0,1,1.0,True,True,True
255,disty12,8,8,5.5,2,1.0,True,False,True
255,disty13,8,8,5.0,2,1.0,True,False,True
255,disty2,8,6,27.0,23,0.75,True,False,True
255,disty3,8,0,43.0,33,0.0,False,False,False
255,disty4,8,8,13.0,7,1.0,True,False,True
255,disty5,8,6,23.5,15,0.75,True,False,True
255,disty6,8,8,6.5,2,1.0,True,False,True
255,disty7,8,7,25.0,19,0.875,True,False,True
255,disty8,8,8,12.0,7,1.0,True,False,True
255,disty9,8,8,11.5,9,1.0,True,False,True
255,limiting_disability,8,0,76.0,59,0.0,False,False,False
255,no_disability,8,0,328.0,273,0.0,False,False,False
255,non_limiting_disability,8,0,78.0,59,0.0,False,False,False
272,disty1,8,5,27.0,23,0.625,True,False,True
272,disty10,8,8,3.5,2,1.0,True,False,True
272,disty11,6,6,1.5,1,1.0,True,True,True
272,disty12,8,8,9.0,1,1.0,True,False,True
272,disty13,8,8,5.0,3,1.0,True,False,True
272,disty2,8,8,21.5,18,1.0,True,False,True
272,disty3,8,8,23.0,17,1.0,True,False,True
272,disty4,8,8,4.5,3,1.0,True,False,True
272,disty5,8,6,24.5,16,0.75,True,False,True
272,disty6,8,8,5.5,3,1.0,True,False,True
272,disty7,8,8,15.0,11,1.0,True,False,True
272,disty8,8,8,7.5,4,1.0,True,False,True
272,disty9,8,8,5.0,2,1.0,True,False,True
272,limiting_disability,8,0,56.5,43,0.0,False,False,False
272,no_disability,8,0,356.5,311,0.0,False,False,False
272,non_limiting_disability,8,0,58.0,41,0.0,False,False,False
279,disty1,8,1,38.0,24,0.125,False,False,False
279,disty10,8,8,3.0,2,1.0,True,False,True
279,disty11,8,8,2.0,1,1.0,True,False,True
279,disty12,8,8,5.5,3,1.0,True,False,True
279,disty13,8,8,3.5,1,1.0,True,False,True
279,disty2,8,7,27.0,19,0.875,True,False,True
279,disty3,8,1,40.0,22,0.125,False,False,False
279,disty4,8,8,8.5,2,1.0,True,False,True
279,disty5,8,7,24.0,11,0.875,True,False,True
279,disty6,8,8,4.5,1,1.0,True,False,True
279,disty7,8,8,19.0,16,1.0,True,False,True
279,disty8,8,8,7.0,6,1.0,True,False,True
279,disty9,8,8,7.5,4,1.0,True,False,True
279,limiting_disability,8,0,65.5,50,0.0,False,False,False
