year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp
12,4,35,7,65-74,0.07089085280327426,0.07785896465754077,0.12793894261311706,5.70480898098428,0.6968111854266518
12,4,35,8,75-84,0.0729375456862686,0.06611510007281578,0.10429779470219644,3.1360249015927835,-0.6822445613452827
12,4,35,9,85+,0.06269607933571425,0.07785896465754077,0.06185898107409071,-0.08370982616235367,1.5162885321826525
12,4,44,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,44,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,44,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,44,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,44,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,44,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,44,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,44,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,68,2,16-24,0.08907149740807886,0.0772195855624162,0.16738708929436033,7.831559188628147,-1.1851911845662657
12,4,68,3,25-34,0.0772195855624162,0.0772195855624162,0.10667530433729222,2.945571877487602,0.0
12,4,68,4,35-44,0.0772195855624162,0.0772195855624162,0.12154032463478369,4.432073907236749,0.0
12,4,68,5,45-54,0.0772195855624162,0.0772195855624162,0.14989043701346833,7.267085145105212,0.0
12,4,68,6,55-64,0.0772195855624162,0.0772195855624162,0.12434811047398324,4.712852491156704,0.0
12,4,68,7,65-74,0.07025147370814969,0.0772195855624162,0.12632088730934207,5.606941360119238,0.6968111854266518
12,4,68,8,75-84,0.07229816659114403,0.06017744206578387,0.10365841560707187,3.1360249015927835,-1.2120724525360165
12,4,68,9,85+,0.06205670024058969,0.0772195855624162,0.06121960197896614,-0.08370982616235506,1.5162885321826511
12,4,78,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,78,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,78,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,78,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,78,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,78,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,78,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,78,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,91,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,91,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,91,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,91,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,91,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,91,7,65-74,0.06760544534572609,0.0745735571999926,0.12465353515556885,5.704808980984276,0.6968111854266518
12,4,91,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,91,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,107,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,107,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,107,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,107,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,107,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,107,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,107,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,107,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,109,2,16-24,0.07548540470424249,0.055068652012877105,0.14507647876092405,6.959107405668156,-2.0416752691365385
12,4,109,3,25-34,0.055068652012877105,0.055068652012877105,0.08982264969966053,3.475399768678342,0.0
12,4,109,4,35-44,0.055068652012877105,0.055068652012877105,0.10592766430158246,5.085901228870536,0.0
12,4,109,5,45-54,0.055068652012877105,0.055068652012877105,0.13536000259644507,8.029135058356795,0.0
12,4,109,6,55-64,0.055068652012877105,0.055068652012877105,0.10996273858994808,5.489408657707098,0.0
12,4,109,7,65-74,0.028802368093077877,0.055068652012877105,0.1126515513343315,8.384918324125362,2.626628391979923
12,4,109,8,75-84,0.02632263476363815,0.02030404966628374,0.0794119363139665,5.308930155032835,-0.601858509735441
12,4,109,9,85+,0.04624487222161606,0.055068652012877105,0.02514536980763038,-2.109950241398568,0.8823779791261046
12,4,112,2,16-24,0.08485033162072214,0.07035239141263588,0.16051989514457998,7.566956352385784,-1.4497940208086257
12,4,112,3,25-34,0.07035239141263588,0.07035239141263588,0.0998081101875119,2.945571877487602,0.0
12,4,112,4,35-44,0.07035239141263588,0.07035239141263588,0.11647439426454263,4.612200285190675,0.0
12,4,112,5,45-54,0.07035239141263588,0.07035239141263588,0.14465376425072798,7.43013728380921,0.0
12,4,112,6,55-64,0.07035239141263588,0.07035239141263588,0.11774355662382871,4.739116521119283,0.0
12,4,112,7,65-74,0.058086000646462035,0.07035239141263588,0.12043236936821212,6.234636872175009,1.226639076617385
12,4,112,8,75-84,0.060132693529456355,0.03001036553441635,0.09679122145729155,3.6658527927835194,-3.012232799504001
12,4,112,9,85+,0.02786885437826836,0.07035239141263588,0.05435240782918581,2.648355345091745,4.248353703436752
12,4,114,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,114,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,114,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,114,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,114,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,114,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,114,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,114,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,117,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,117,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,117,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,117,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,117,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,117,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,117,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,117,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,122,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,122,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,122,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,122,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,122,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,122,7,65-74,0.06760544534572609,0.0745735571999926,0.12465353515556885,5.704808980984276,0.6968111854266518
12,4,122,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,122,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,126,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,126,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,126,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,126,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,126,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,126,7,65-74,0.06230716643381875,0.0745735571999926,0.12465353515556885,6.23463687217501,1.2266390766173856
12,4,126,8,75-84,0.06965213822872043,0.05753141370336025,0.10101238724464827,3.1360249015927835,-1.2120724525360185
12,4,126,9,85+,0.03236916478534387,0.0745735571999926,0.058573573616542515,2.6204408831198642,4.220439241464873
12,4,129,2,16-24,0.0896911832863792,0.07519324307829295,0.16562338710986285,7.593220382348365,-1.4497940208086257
12,4,129,3,25-34,0.07519324307829295,0.07519324307829295,0.10464896185316896,2.945571877487602,0.0
12,4,129,4,35-44,0.07519324307829295,0.07519324307829295,0.11977662245028622,4.458337937199327,0.0
12,4,129,5,45-54,0.07519324307829295,0.07519324307829295,0.14812673482897085,7.29334917506779,0.0
12,4,129,6,55-64,0.07519324307829295,0.07519324307829295,0.12258440828948577,4.739116521119283,0.0
12,4,129,7,65-74,0.06292685231211909,0.07519324307829295,0.12465353515556885,6.172668284344976,1.2266390766173862
12,4,129,8,75-84,0.07027182410702078,0.0581510995816606,0.10163207312294861,3.1360249015927835,-1.2120724525360178
12,4,129,9,85+,0.03298885066364422,0.07519324307829295,0.059193259494842866,2.6204408831198642,4.220439241464873
12,4,135,2,16-24,0.08173510582719636,0.06193888670720273,0.15740466935105418,7.566956352385783,-1.9796219119993623
12,4,135,3,25-34,0.06193888670720273,0.06193888670720273,0.09669288439398611,3.475399768678338,0.0
12,4,135,4,35-44,0.06193888670720273,0.06193888670720273,0.11402518744507412,5.2086300737871385,0.0
12,4,135,5,45-54,0.0672371656191101,0.06193888670720273,0.1399140104061736,7.26768447870635,-0.5298278911907366
12,4,135,6,55-64,0.06193888670720273,0.06193888670720273,0.1161669543102164,5.422806760301366,0.0
12,4,135,7,65-74,0.05497077485293622,0.06193888670720273,0.11718793467935204,6.221715982641582,0.6968111854266511
12,4,135,8,75-84,0.03287481914448963,0.02685623404713518,0.09275964725938309,5.988482811489345,-0.6018585097354447
12,4,135,9,85+,0.024714722890987216,0.06193888670720273,0.030445607444547388,0.5730884553560172,3.7224163816215516
12,4,136,2,16-24,0.08907149740807886,0.0745735571999926,0.1647410609319367,7.566956352385783,-1.4497940208086257
12,4,136,3,25-34,0.0745735571999926,0.0745735571999926,0.10402927597486862,2.945571877487602,0.0
12,4,136,4,35-44,0.0745735571999926,0.0745735571999926,0.11915693657198588,4.458337937199327,0.0
12,4,136,5,45-54,0.0745735571999926,0.0745735571999926,0.14724440865104468,7.267085145105208,0.0
12,4,136,6,55-64,0.0745735571999926,0.0745735571999926,0.12170208211155964,4.712852491156704,0.0
12,4,136,7,65-74,0.06760544534572609,0.0745735571999926,0.12465353515556885,5.704808980984276,0.6968111854266518
