series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_114__age_2__activity_0,114,2,16-24,0,inactive,0.208987411609344,True,borough_age_activity,9,1,0.208987411609344,0,6,114,16-24__inactive,Gradient Boosting,0.08892835939671695,0.08892835939671695,False,observed_year8,8.892835939671695,-12.005905221262706
borough_114__age_2__activity_1,114,2,16-24,1,fairly_active,0.4915355603905894,True,borough_age_activity,9,1,0.4915355603905894,0,6,114,16-24__fairly_active,Gradient Boosting,0.07247738945712794,0.07247738945712794,False,observed_year8,7.247738945712793,-41.905817093346144
borough_114__age_2__activity_2,114,2,16-24,2,active,0.2853776598509603,True,borough_age_activity,9,1,0.2853776598509603,0,6,114,16-24__active,Gradient Boosting,0.16743439616327696,0.16743439616327696,False,observed_year8,16.743439616327695,-11.794326368768335
borough_114__age_3__activity_0,114,3,25-34,0,inactive,0.2687198134476466,True,borough_age_activity,9,1,0.2687198134476466,0,6,114,25-34__inactive,Gradient Boosting,0.07247738945712794,0.07247738945712794,False,observed_year8,7.247738945712793,-19.624242399051866
borough_114__age_3__activity_1,114,3,25-34,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,114,25-34__fairly_active,Gradient Boosting,0.05143587044872381,0.05143587044872381,False,observed_year8,5.143587044872381,5.143587044872381
borough_114__age_3__activity_2,114,3,25-34,2,active,0.0955686464158081,True,borough_age_activity,9,1,0.0955686464158081,0,6,114,25-34__active,Gradient Boosting,0.10402927597486862,0.10402927597486862,False,observed_year8,10.402927597486862,0.8460629559060517
borough_114__age_4__activity_0,114,4,35-44,0,inactive,0.1586532030191659,True,borough_age_activity,9,1,0.1586532030191659,0,6,114,35-44__inactive,Gradient Boosting,0.06978405422578765,0.06978405422578765,False,observed_year8,6.978405422578765,-8.886914879337827
borough_114__age_4__activity_1,114,4,35-44,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,114,35-44__fairly_active,Gradient Boosting,0.05143587044872381,0.05143587044872381,False,observed_year8,5.143587044872381,5.143587044872381
borough_114__age_4__activity_2,114,4,35-44,2,active,0.2456172285560668,True,borough_age_activity,9,1,0.2456172285560668,0,6,114,35-44__active,Gradient Boosting,0.12245787299830571,0.12245787299830571,False,observed_year8,12.245787299830571,-12.31593555577611
borough_114__age_5__activity_0,114,5,45-54,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,114,45-54__inactive,Gradient Boosting,0.05143587044872381,0.05143587044872381,False,observed_year8,5.143587044872381,5.143587044872381
