model,candidate_id,year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp,primary_active_inactive_gap_pp,primary_fairly_active_inactive_gap_pp,active_gap_difference_pp,fairly_active_gap_difference_pp,active_gap_sign_reversal,fairly_active_gap_sign_reversal
Random Forest,Random Forest_05,9,1,112,2.0,16-24,0.10701506323924505,0.10083768369072384,0.17167047313690822,6.465540989766318,-0.6177379548521211,10.177973012618565,-1.4497940208086284,-3.712432022852248,0.8320560659565073,False,False
Random Forest,Random Forest_05,9,1,112,3.0,25-34,0.07369677701257497,0.07880360976530597,0.10519367829318907,3.1496901280614096,0.5106832752730994,5.287255014586359,0.0,-2.1375648865249492,0.5106832752730994,False,False
Random Forest,Random Forest_05,9,1,112,4.0,35-44,0.08427375353183814,0.08182037680276054,0.11979932919006328,3.5525575658225144,-0.2453376729077597,5.05052822985233,-2.2750812396930304,-1.4979706640298156,2.0297435667852706,False,False
Random Forest,Random Forest_05,9,1,112,5.0,45-54,0.09237766430749499,0.08971149087774975,0.15117800498129708,5.880034067380209,-0.26661734297452333,7.444451084945401,-2.087742697462771,-1.5644170175651917,1.8211253544882477,False,False
Random Forest,Random Forest_05,9,1,112,6.0,55-64,0.06895700040279427,0.07684978896206379,0.12358720854365102,5.463020814085675,0.7892788559269517,7.359933631522729,0.0,-1.8969128174370544,0.7892788559269517,False,False
Random Forest,Random Forest_05,9,1,112,7.0,65-74,0.07261429906837778,0.07629158529593302,0.13096485588665274,5.835055681827496,0.36772862275552404,6.003014183715309,-1.1150440604813725,-0.1679585018878127,1.4827726832368966,False,True
Random Forest,Random Forest_05,9,1,112,8.0,75-84,0.06951924872810918,0.0700772930260339,0.13191553893202218,6.2396290203913,0.05580442979247202,5.747507717894535,-0.6018585097354436,0.49212130249676544,0.6576629395279157,False,True
Random Forest,Random Forest_05,9,1,112,9.0,85+,0.07403211531950818,0.06057027613940549,0.07757785469886827,0.3545739379360091,-1.3461839180102686,0.5730884553560165,1.3410780474651083,-0.21851451742000738,-2.687261965475377,False,True
Random Forest,Random Forest_05,9,1,114,2.0,16-24,0.10949305471544915,0.10010864285801942,0.17167047313690822,6.217741842145907,-0.9384411857429733,7.850603676656001,-1.6450969939589013,-1.632861834510094,0.706655808215928,False,False
Random Forest,Random Forest_05,9,1,114,3.0,25-34,0.08742026207162443,0.08373778676640453,0.10546360280430664,1.8043340732682212,-0.36824753052198955,3.1551886517740684,-2.104151900840413,-1.3508545785058472,1.7359043703184232,False,False
Random Forest,Random Forest_05,9,1,114,4.0,35-44,0.07502010471790549,0.08722941222340921,0.1248072079627729,4.978710324486742,1.2209307505503726,5.267381877251806,-1.834818377706384,-0.28867155276506384,3.055749128256757,False,True
Random Forest,Random Forest_05,9,1,114,5.0,45-54,0.07795019970961199,0.09380194850094974,0.148063730938514,7.0113531228902,1.5851748791337745,10.16943351488749,0.383268196147759,-3.1580803919972906,1.2019066829860154,False,False
Random Forest,Random Forest_05,9,1,114,6.0,55-64,0.07311752665035426,0.08334871913002416,0.13063244393728776,5.751491728693351,1.0231192479669902,7.861847060741595,2.0933044297298053,-2.110355332048244,-1.0701851817628152,False,False
Random Forest,Random Forest_05,9,1,114,7.0,65-74,0.06427674540622985,0.08899566532357694,0.12566862760648617,6.139188220025632,2.4718919917347093,8.322227439786655,3.037353692799584,-2.1830392197610227,-0.5654617010648746,False,False
Random Forest,Random Forest_05,9,1,114,8.0,75-84,0.07352116885886234,0.07426034374190005,0.13374187945502175,6.022071059615941,0.07391748830377076,5.719593255922657,-0.6018585097354436,0.30247780369328403,0.6757759980392144,False,True
Random Forest,Random Forest_05,9,1,114,9.0,85+,0.07915090949621856,0.0636614193575338,0.08258071474183669,0.3429805245618131,-1.5489490138684752,0.5730884553560162,1.2781564298348245,-0.23010793079420305,-2.8271054437032994,False,True
Random Forest,Random Forest_05,9,1,117,2.0,16-24,0.09811002537476456,0.10224576185988211,0.17167047313690822,7.356044776214367,0.4135736485117558,8.045906649806277,-3.5539459216490386,-0.6898618735919095,3.9675195701607944,False,True
Random Forest,Random Forest_05,9,1,117,3.0,25-34,0.0828026273847428,0.07864695499545765,0.09609488393309783,1.329225654835503,-0.4155672389285145,2.811593981036337,0.3202111169042676,-1.4823683262008338,-0.7357783558327822,False,True
Random Forest,Random Forest_05,9,1,117,4.0,35-44,0.08585060455640019,0.0776510571097166,0.11176608521435379,2.59154806579536,-0.819954744668358,4.469185408309934,-0.4789502974204954,-1.877637342514574,-0.34100444724786266,False,False
