series_id,year,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_8__age_6__activity_2,3,8,6,55-64,2,active,0.0,1.0,6,5.260336746696902,5.523885236225501,5.009362342863875,0,0.0,6,5.260336746696902,True,True,True,True,True,6,1.0,True,True
borough_8__age_6__activity_2,4,8,6,55-64,2,active,0.01791659002329124,0.9820834099767087,7,14.0787163449038,39.66961448239229,4.996525842423772,1,0.2522425888058507,6,13.826473756097949,True,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,5,8,6,55-64,2,active,0.010707747807593069,0.989292252192407,33,40.08098964353305,66.45812460567555,24.17290196401072,1,0.4291771289817015,32,39.65181251455135,False,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,6,8,6,55-64,2,active,0.1581695549868985,0.8418304450131014,20,17.526288358449232,19.569016528857205,15.696792077953818,2,2.772125230227975,18,14.754163128221256,True,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,7,8,6,55-64,2,active,0.02979238795792246,0.9702076120420774,18,16.336399484685444,20.64098611178987,12.929515415486547,1,0.4867003512833533,17,15.849699133402089,True,True,False,True,True,6,1.0,True,True
borough_8__age_6__activity_2,8,8,6,55-64,2,active,0.06932086559902742,0.9306791344009726,18,13.099881081223353,15.2357685927687,11.26342155286099,2,0.908095095794726,16,12.191785985428627,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_0,3,8,7,65-74,0,inactive,0.0,1.0,1,0.5152373052949574,0.2654694807676091,1.0,0,0.0,1,0.5152373052949574,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,4,8,7,65-74,0,inactive,0.0,1.0,4,5.887026747958782,15.559957232130703,2.227325140689759,0,0.0,4,5.887026747958782,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,5,8,7,65-74,0,inactive,0.0,1.0,6,4.893319038254174,5.252107856311603,4.559040268254565,0,0.0,6,4.893319038254174,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,6,8,7,65-74,0,inactive,0.0,1.0,7,6.375645900685457,7.754613290636858,5.241893970394098,0,0.0,7,6.375645900685457,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,7,8,7,65-74,0,inactive,0.0,1.0,9,6.004212204214853,4.199480251784112,8.584529996998276,0,0.0,9,6.004212204214853,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_0,8,8,7,65-74,0,inactive,0.0,1.0,9,9.164645178936857,13.88480845814407,6.049109104313658,0,0.0,9,9.164645178936857,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_1,3,8,7,65-74,1,fairly_active,0.0,1.0,1,0.9336671738521038,0.8717343915289747,1.0,0,0.0,1,0.9336671738521038,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_1,4,8,7,65-74,1,fairly_active,0.0,1.0,4,2.10257392625985,1.1712502780040484,3.7744427458505,0,0.0,4,2.10257392625985,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_1,5,8,7,65-74,1,fairly_active,0.0,1.0,1,0.3466846830546218,0.12019026946468357,1.0,0,0.0,1,0.3466846830546218,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_1,6,8,7,65-74,1,fairly_active,0.0,1.0,4,4.140603300650545,6.52099060811477,2.6291397616833434,0,0.0,4,4.140603300650545,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_1,7,8,7,65-74,1,fairly_active,0.0,1.0,1,0.8255013698828112,0.6814525116783978,1.0,0,0.0,1,0.8255013698828112,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_1,8,8,7,65-74,1,fairly_active,0.0,1.0,1,0.4569049195014854,0.20876210546465884,1.0,0,0.0,1,0.4569049195014854,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_2,3,8,7,65-74,2,active,0.40472942736628065,0.5952705726337193,6,6.37389534646771,10.231103269245152,3.97088572156697,2,2.5797030136684773,4,3.7941923327992324,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_2,4,8,7,65-74,2,active,0.0,1.0,6,3.6115071280286126,2.777041487591803,4.696719078227421,0,0.0,6,3.6115071280286126,True,True,True,True,True,6,1.0,True,True
borough_8__age_7__activity_2,5,8,7,65-74,2,active,0.12234704170594377,0.8776529582940563,19,13.98520815406237,15.20433896811121,12.863831010520391,3,1.7110488452913737,16,12.274159308770997,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_2,6,8,7,65-74,2,active,0.18449164392530046,0.8155083560746996,9,5.908943886100721,4.744562292200679,7.359080922276628,2,1.0901507714090752,7,4.818793114691646,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_2,7,8,7,65-74,2,active,0.04239376624544723,0.9576062337545529,9,6.243572661419867,5.693283003083126,6.847051087627163,1,0.2646885599446987,8,5.978884101475169,True,True,False,True,True,6,1.0,True,True
borough_8__age_7__activity_2,8,8,7,65-74,2,active,0.17069734802109351,0.8293026519789065,14,8.822090471427005,6.22531835263013,12.502056260811324,3,1.5059074474747485,11,7.316183023952257,True,True,False,True,True,6,1.0,True,True
borough_8__age_8__activity_0,4,8,8,75-84,0,inactive,0.0,1.0,1,1.834281764755921,3.3645895925160962,1.0,0,0.0,1,1.834281764755921,True,True,True,True,True,5,0.8333333333333334,True,False
borough_8__age_8__activity_0,5,8,8,75-84,0,inactive,0.0,1.0,2,4.598226078883659,11.811877367944692,1.7900357761845662,0,0.0,2,4.598226078883659,True,True,True,True,True,5,0.8333333333333334,True,False
borough_8__age_8__activity_0,6,8,8,75-84,0,inactive,0.0,1.0,6,9.816972649214533,21.358422749642585,4.512175506828513,0,0.0,6,9.816972649214533,True,True,True,True,True,5,0.8333333333333334,True,False
borough_8__age_8__activity_0,7,8,8,75-84,0,inactive,0.0,1.0,2,1.3842546562633213,0.9620675079324924,1.991711535404168,0,0.0,2,1.3842546562633213,True,True,True,True,True,5,0.8333333333333334,True,False
borough_8__age_8__activity_0,8,8,8,75-84,0,inactive,0.0,1.0,4,5.683913917120551,8.76511091993416,3.6858492393704196,0,0.0,4,5.683913917120551,True,True,True,True,True,5,0.8333333333333334,True,False
borough_8__age_8__activity_1,6,8,8,75-84,1,fairly_active,0.0,1.0,1,2.9380449601484173,8.632108187853515,1.0,0,0.0,1,2.9380449601484173,True,True,True,True,True,3,0.5,True,False
