series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,historical_observed_years,historical_effective_n_median,historical_small_cell_share,initial_year8_lag_observed,historical_reliability_band,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,raw_predicted_rate,predicted_rate,was_clipped,lag_source,model
borough_114__age_7__activity_2,114,7,65-74,2,active,0.0423543201783982,6,12.702830907971343,0.8333333333333334,True,10_to_below_30,9,1,0.0423543201783982,0,6,114,65-74__active,0.15485503367821343,0.15485503367821343,False,observed_year8,Ridge Regression
borough_114__age_8__activity_0,114,8,75-84,0,inactive,0.0,5,3.5305724401773495,1.0,True,below_5,9,1,0.0,0,6,114,75-84__inactive,0.07307420047867808,0.07307420047867808,False,observed_year8,Ridge Regression
borough_114__age_8__activity_1,114,8,75-84,1,fairly_active,0.0,4,1.0,1.0,True,below_5,9,1,0.0,0,6,114,75-84__fairly_active,0.07133129174051159,0.07133129174051159,False,observed_year8,Ridge Regression
borough_114__age_8__activity_2,114,8,75-84,2,active,0.2683040003701794,6,4.809074266362992,1.0,True,below_5,9,1,0.2683040003701794,0,6,114,75-84__active,0.15465943234955715,0.15465943234955715,False,observed_year8,Ridge Regression
borough_114__age_9__activity_0,114,9,85+,0,inactive,0.0,3,1.0,1.0,True,below_5,9,1,0.0,0,6,114,85+__inactive,0.10462087299081935,0.10462087299081935,False,observed_year8,Ridge Regression
borough_114__age_9__activity_1,114,9,85+,1,fairly_active,,1,1.6376998115034316,1.0,False,below_5,9,1,,1,6,114,85+__fairly_active,0.07430235070973668,0.07430235070973668,False,missing_year8,Ridge Regression
borough_114__age_9__activity_2,114,9,85+,2,active,0.0,2,1.0,1.0,True,below_5,9,1,0.0,0,6,114,85+__active,0.12128933372930181,0.12128933372930181,False,observed_year8,Ridge Regression
borough_117__age_2__activity_0,117,2,16-24,0,inactive,0.7305360924257014,6,4.036097729685162,1.0,True,below_5,9,1,0.7305360924257014,0,6,117,16-24__inactive,0.11304638657067073,0.11304638657067073,False,observed_year8,Ridge Regression
borough_117__age_2__activity_1,117,2,16-24,1,fairly_active,0.0,6,2.693089486976441,1.0,True,below_5,9,1,0.0,0,6,117,16-24__fairly_active,0.13774070337100852,0.13774070337100852,False,observed_year8,Ridge Regression
borough_117__age_2__activity_2,117,2,16-24,2,active,0.362776079277293,6,14.55823546245546,0.8333333333333334,True,10_to_below_30,9,1,0.362776079277293,0,6,117,16-24__active,0.19082208873721682,0.19082208873721682,False,observed_year8,Ridge Regression
borough_117__age_3__activity_0,117,3,25-34,0,inactive,0.0586815816394471,6,7.539163732655725,1.0,True,5_to_below_10,9,1,0.0586815816394471,0,6,117,25-34__inactive,0.08497389871747983,0.08497389871747983,False,observed_year8,Ridge Regression
borough_117__age_3__activity_1,117,3,25-34,1,fairly_active,0.3639147836815409,6,4.375464630851859,1.0,True,below_5,9,1,0.3639147836815409,0,6,117,25-34__fairly_active,0.09424381063665901,0.09424381063665901,False,observed_year8,Ridge Regression
borough_117__age_3__activity_2,117,3,25-34,2,active,0.1595090460129845,6,16.199826589164132,0.6666666666666666,True,10_to_below_30,9,1,0.1595090460129845,0,6,117,25-34__active,0.13454606299853794,0.13454606299853794,False,observed_year8,Ridge Regression
borough_117__age_4__activity_0,117,4,35-44,0,inactive,0.0797795806952353,6,15.827796363704106,0.8333333333333334,True,10_to_below_30,9,1,0.0797795806952353,0,6,117,35-44__inactive,0.09146350496463078,0.09146350496463078,False,observed_year8,Ridge Regression
borough_117__age_4__activity_1,117,4,35-44,1,fairly_active,0.1584762205208172,6,6.375368790788514,1.0,True,5_to_below_10,9,1,0.1584762205208172,0,6,117,35-44__fairly_active,0.10184155126877659,0.10184155126877659,False,observed_year8,Ridge Regression
borough_117__age_4__activity_2,117,4,35-44,2,active,0.2925657479030797,6,32.149026692250516,0.3333333333333333,True,30_or_above,9,1,0.2925657479030797,0,6,117,35-44__active,0.14138990661610454,0.14138990661610454,False,observed_year8,Ridge Regression
borough_117__age_5__activity_0,117,5,45-54,0,inactive,0.1050430527649997,6,11.047827607707593,1.0,True,10_to_below_30,9,1,0.1050430527649997,0,6,117,45-54__inactive,0.08350642549950676,0.08350642549950676,False,observed_year8,Ridge Regression
